"Section","Position","X","Y.x","Z","SedDepth","n","GrainSize","GrainType","Cover","Pics","X0bvs","Slope","A","P","R","V","Q","Y.y"
1,"Lout",4.064,0,0,"5",0.04,"1-2 mm","Gravely sand over bed rock","Riparian zone, trees rooted in bed rock, grass",2192,"",0.052,2.30632,11.7917162028811,0.195588153608759,3.02908353884735,6.98603594731442,0.257799999999988
1,"Rout",4.064,5.7912,0,"12.5",0.04,"1-2 mm","Gravel over bed rock","Bare ground",2192,"",0.052,2.30632,11.7917162028811,0.195588153608759,3.02908353884735,6.98603594731442,0.257799999999988
1,"Lin",4.064,1.6256,0.65,NA,0.04,NA,NA,NA,2192,"",0.052,2.30632,11.7917162028811,0.195588153608759,3.02908353884735,6.98603594731442,0.257799999999988
1,"Rin",4.064,4.2672,0.5,NA,0.04,NA,NA,NA,2192,"",0.052,2.30632,11.7917162028811,0.195588153608759,3.02908353884735,6.98603594731442,0.257799999999988
1,"Mid",NA,NA,NA,NA,0.04,"1-2 mm","Sand with coarse to very coarse",NA,2192,"",0.052,2.30632,11.7917162028811,0.195588153608759,3.02908353884735,6.98603594731442,0.257799999999988
2,"Lout",10.16,0,0,NA,0.035,NA,"Bedrock",NA,NA,"",0.051,2.36601,10.6857103234046,0.221418130231155,3.29022051285518,7.78469463562049,0.208899999999993
2,"Rout",10.16,5.1816,0,NA,0.035,NA,"bedrock",NA,NA,"",0.051,2.36601,10.6857103234046,0.221418130231155,3.29022051285518,7.78469463562049,0.208899999999993
2,"Lin",10.16,0.6096,0.45,NA,0.035,NA,NA,NA,NA,"",0.051,2.36601,10.6857103234046,0.221418130231155,3.29022051285518,7.78469463562049,0.208899999999993
2,"Rin",10.16,4.2164,0.6,NA,0.035,NA,NA,NA,NA,"",0.051,2.36601,10.6857103234046,0.221418130231155,3.29022051285518,7.78469463562049,0.208899999999993
2,"Mid",10.16,2.7432,0.5,"10",0.035,NA,"Sand coarse gravel over bedrock",NA,NA,"",0.051,2.36601,10.6857103234046,0.221418130231155,3.29022051285518,7.78469463562049,0.208899999999993
3,"Lout",16.256,0,0,NA,0.035,NA,"bedrock","Trees rooted in bedrock, mule fat",2197,"",0.069,1.80975,7.21176073890359,0.250944265280096,3.57657829418491,6.47271256790115,0.323399999999981
3,"Rout",16.256,3.2004,0,NA,0.035,NA,"bedrock","shurb rooted in bedrock",2197,"",0.069,1.80975,7.21176073890359,0.250944265280096,3.57657829418491,6.47271256790115,0.323399999999981
3,"Lin",16.256,1.524,0.8,NA,0.035,NA,NA,NA,2197,"",0.069,1.80975,7.21176073890359,0.250944265280096,3.57657829418491,6.47271256790115,0.323399999999981
3,"Rin",16.256,3.048,0.75,NA,0.035,NA,NA,NA,2197,"",0.069,1.80975,7.21176073890359,0.250944265280096,3.57657829418491,6.47271256790115,0.323399999999981
3,"Mid",NA,NA,NA,"12.5",0.035,"0.5-1 mm","Midium sand to coarse sand",NA,2197,"",0.069,1.80975,7.21176073890359,0.250944265280096,3.57657829418491,6.47271256790115,0.323399999999981
4,"Lout",23.2664,0,0,NA,0.035,NA,NA,"bedrock, grass",2207,"",0.115,1.89103,7.37875267456432,0.25628044242744,3.62710278648585,6.85896018232833,0.231499999999991
4,"Rout",23.2664,3.3528,0,NA,0.035,NA,NA,"bedrock, grass",2207,"",0.115,1.89103,7.37875267456432,0.25628044242744,3.62710278648585,6.85896018232833,0.231499999999991
4,"Lin",23.2664,0.7112,0.85,NA,0.035,NA,NA,NA,2207,"",0.115,1.89103,7.37875267456432,0.25628044242744,3.62710278648585,6.85896018232833,0.231499999999991
4,"Rin",23.2664,2.794,0.6,NA,0.035,NA,NA,NA,2207,"",0.115,1.89103,7.37875267456432,0.25628044242744,3.62710278648585,6.85896018232833,0.231499999999991
4,"Mid",NA,NA,NA,"10",0.035,NA,"Sandy gravel","spear grass",2207,"",0.115,1.89103,7.37875267456432,0.25628044242744,3.62710278648585,6.85896018232833,0.231499999999991
5,"Lout",29.3624,0,0,NA,0.035,NA,"Bedrock","Sycamore tree, bedrock",2212,"",0.091,1.141476,6.52625353519201,0.174905249059776,2.81158649403004,3.20935850485943,0.245499999999989
5,"Rout",29.3624,3.048,0,NA,0.035,NA,"Silt to Fine sand","grass",2212,"",0.091,1.141476,6.52625353519201,0.174905249059776,2.81158649403004,3.20935850485943,0.245499999999989
5,"Lin",29.3624,0.762,0.57,NA,0.035,NA,NA,NA,2212,"",0.091,1.141476,6.52625353519201,0.174905249059776,2.81158649403004,3.20935850485943,0.245499999999989
5,"Rin",29.3624,2.8956,0.35,NA,0.035,NA,NA,NA,2212,"",0.091,1.141476,6.52625353519201,0.174905249059776,2.81158649403004,3.20935850485943,0.245499999999989
5,"Mid",NA,NA,NA,"5-Oct",0.035,NA,"Coarse gravel with sand","ragweed ",2212,"",0.091,1.141476,6.52625353519201,0.174905249059776,2.81158649403004,3.20935850485943,0.245499999999989
6,"Lout",35.4584,0,0,"0",0.035,NA,"bedrock","shurb rooted in bedrock",218,"",0.031,1.700403,6.80330371591321,0.249937834764408,3.56700913641796,6.06535303659251,0.373399999999975
6,"Rout",35.4584,3.1242,0,"5-Oct",0.035,NA,"Silt-medium sand ","bedrock sycamore tree",218,"",0.031,1.700403,6.80330371591321,0.249937834764408,3.56700913641796,6.06535303659251,0.373399999999975
6,"Lin",35.4584,0.6096,0.55,NA,0.035,NA,NA,NA,218,"",0.031,1.700403,6.80330371591321,0.249937834764408,3.56700913641796,6.06535303659251,0.373399999999975
6,"Rin",35.4584,2.3622,0.78,NA,0.035,NA,NA,NA,218,"",0.031,1.700403,6.80330371591321,0.249937834764408,3.56700913641796,6.06535303659251,0.373399999999975
6,"Mid",NA,NA,NA,"20-35",0.035,NA,"coarse to very course sand","bare ground",218,"",0.031,1.700403,6.80330371591321,0.249937834764408,3.56700913641796,6.06535303659251,0.373399999999975
7,"Lout",41.5544,0,0,NA,0.035,"NaN ","Bedrock","Bedrock",2225,"",0.1,3.228975,13.0010324968007,0.248362966617812,3.55200944639336,11.469349702168,0.154599999999999
7,"Rout",41.5544,6.3246,0,"30",0.035,NA,"silt coarse sand over bedrock","Bay laurel, grasses all over",2225,"",0.1,3.228975,13.0010324968007,0.248362966617812,3.55200944639336,11.469349702168,0.154599999999999
