"Section","A","P","R","V","Q"
1,23063.2,1179.17162028811,19.5588153608759,29.3320208300456,676490.262807507
2,23660.1,1068.57103234046,22.1418130231155,31.8607312676611,753828.087865989
3,18097.5,721.176073890359,25.0944265280096,34.6336664802718,626782.77912672
4,18910.3,737.875267456432,25.628044242744,35.1229185730558,664184.927092057
5,11414.76,652.625353519201,17.4905249059776,27.2258960674771,310777.069395195
6,17004.03,680.330371591321,24.9937834764408,34.5410038873303,587336.26633028
7,32289.75,1300.10324968007,24.8362966617812,34.3957549317953,1110630.32780894
8,39128.7,1030.90836339811,37.9555558857074,45.6349092318102,1785634.67285873
9,38061.9,1049.45407176942,36.2682856009374,44.2722544788513,1685086.12274859
10,23507.7,819.485687906309,28.6859189207556,37.8639685903244,890094.814430768
11,12357.1,470.753558796256,26.2496156834115,35.6885513535847,441006.997931382
12,17302.48,951.561151644326,18.1832559789781,27.9401063750776,483433.131752653
13,13853.16,574.170741365365,24.1272482242085,33.7379596917653,467377.353683575
14,14942.82,636.254675252912,23.4855955974865,33.1371132802144,495161.919065853
15,10045.7,625.272169964524,16.0661236539121,25.7269137355923,258444.857313639
16,17955.26,770.847653481834,23.2928775470718,32.95558681462,591726.129709074
17,24551.64,982.852537012681,24.9799833397421,34.528288340106,847726.105142481
18,57404,1469.38863896863,39.0665876117649,46.5211675294291,2670501.10085935
19,13003.53,659.585672149907,19.7146944651106,29.4876607012528,383443.680558561
20,99517.2,1781.1569687836,55.8722233605064,59.0533114645063,5876820.20767557
