Outfall,Species Name,Common Name,Funtional Type,1.Channel.bed,2.Banks,3.Upland,0Transect,1Transect,2Transect,3Transect,4Transect,5Transect,6Transect,7Transect,8Transect,9Transect,10Transect,11Transect,12Transect,13Transect,14Transect,15Transect,16Transect,17Transect,Root-deep_(m),SWTmin,SWTmax,SWR,AWTmin,AWTmax,WetSeason,WR,FR,N_I,IR,WS,Habitat ,SiteType,Wildlife_Attracted,CalNativePlantSociety,Calflora_AWT,Reference ,Source 1,Source 2
B,Adenostoma fasciculatum,Chamise,deep-rooted,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,7.6,0.3556,7.5946,1 to 2/M,28,266,4 to 7,"EL,VL",Spr,1,NA,UPL,S,,Various birds and insects,http://calscape.org/Adenostoma-fasciculatum-(Chamise)?srchcr=sc585d468aab952,http://www.calflora.org/entry/plantchar.html?crn=298,"http://www.fs.fed.us/database/feis/plants/shrub/adefas/all.html; (Hellmers et al., 1955)",http://www.biosbcc.net/b100plant/htm/fire.htm,http://www.fs.fed.us/database/feis/plants/shrub/adefas/all.html
19,Artemisia douglasiana,Mugwort,shallow-rooted,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.15,0.3302,10.414,1/W,0.09,0.87,3 to 9,"L,M-H",,1,NA,FACU,PH,,Various insects are attracted to the flowers,http://calscape.org/Baccharis-pilularis-(Coyote-Bush)?srchcr=sc585d673d068c1,http://www.calflora.org/entry/plantchar.html?crn=708,http://calscape.org/Artemisia-douglasiana-(Douglas'-Sagewort)?srchcr=sc585d473e55991,,
B,Baccharis pilularis,Coyote brush,shallow-rooted,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0.3556,9.4488,1/M,23,257,3 to 9,VL,Spr,1,NA,UPL,S,,"Very attractive to insects, especially when in flower. It is common to find wasp galls on leaves.",http://calscape.org/Baccharis-pilularis-(Coyote-Bush)?srchcr=sc585d673d068c1,http://www.calflora.org/entry/plantchar.html?crn=1031,http://www.fs.fed.us/database/feis/plants/shrub/bacpil/all.html,http://www.fs.fed.us/database/feis/plants/shrub/bacpil/all.html#FIRE%20ECOLOGY,
B,Baccharis salicifolia,Mulefat,deep-rooted,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0.2-4.5,0.3556,6.0706,1/M,13,160,0 to 8,L,Se,1,NA,FACU,S,,This is an important butterfly and bee plant. Also attracts other beneficial insects,http://calscape.org/Baccharis-salicifolia-(Mulefat)?srchcr=sc585d67db7a4f6,http://www.calflora.org/entry/plantchar.html?crn=1035,https://www.fs.fed.us/psw/publications/beyers/psw_2010_beyers019(montalvo)baccharispilularis.pdf,,
B,Bromus diandrus,Ripgut brome,shallow-rooted,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.1,NA,NA,NA,18,246,0 to 8,NA,D,0,Modarate ,UPL,AG,,NA,,http://www.calflora.org/entry/plantchar.html?crn=1200,http://www.herbiguide.com.au/Descriptions/hg_Great_Brome.htm,http://www.hastingsreserve.org/nativegrass/NonNative.html,
19,Bromus madritensis,Red brome,shallow-rooted,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.1,NA,NA,NA,8,292,0 to 8,NA,D,0,High ,UPL,AG,,NA,,http://www.calflora.org/entry/plantchar.html?crn=1207,http://www.cal-ipc.org/ip/management/ipcw/pages/detailreport.cfm@usernumber=20&surveynumber=182.php,http://www.fs.fed.us/database/feis/plants/graminoid/brospp/all.html#FIRE%20ECOLOGY,
19,Ceanothus cuneatus,Buckbrush,shallow-rooted,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.76-1.09,0.3556,15.0876,NO,28,312,4 to 9,VL,Se,1,NA,UPL,S,,"Insects, especially bees and butterflies, are attracted to the flowers. ",http://calscape.org/Ceanothus-cuneatus-(Buck-Brush)?srchcr=sc585d6945a5ebd,http://www.calflora.org/entry/plantchar.html?crn=1770,https://www.fs.fed.us/database/feis/plants/shrub/ceacun/all.html,http://www.biosbcc.net/b100plant/htm/fire.htm,
B,Ceanothus oliganthus,Hairy ceanothus,deep-rooted,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0.381,7.5184,NO-1/M,43,140,5 to 7,VL,Se,1,NA,UPL,S,,"Various insects and birds. It is host plant to the following butterflies: Spring Azure, Echo Blue, Pacuvius Duskywing, California Tortoiseshell, Pale Swallowtail, and Hedgerow Hairstreak.",http://calscape.org/Ceanothus-oliganthus-(Hairy-Ceanothus)?srchcr=sc585d69c219c76,http://www.calflora.org/entry/plantchar.html?crn=1812," (Hellmers et al., 1955)",http://www.biosbcc.net/b100plant/htm/fire.htm,
19,Cercocarpus betuloides,Birch-leaf mountain mahogany,shallow-rooted,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1.13-1.52,0.3556,7.8232,NA,28,246,1 to 8,VL,Spr,1,NA,UPL,S,,"Good with oaks, Toyon, Coffeeberry species, Manzanita species, Ceanothus species, sages, and most other chaparral species",http://calscape.org/Cercocarpus-betuloides-(Mountain-Mahogany)?srchcr=sc585d6aa6ce6e9,http://www.calflora.org/entry/plantchar.html?crn=1878,https://www.fs.fed.us/database/feis/plants/shrub/cermon/all.html,http://www.fs.fed.us/database/feis/plants/shrub/cermon/all.html#FIRE%20ECOLOGY,
19,Dittrichia graveolens,Stinkwort,shallow-rooted,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,23,170,4 to 8,NA,Se,0,Modarate ,UPL,AH,,NA,,http://www.calflora.org/entry/plantchar.html?crn=8482,http://wric.ucdavis.edu/information/natural%20areas/wr_D/Dittrichia.pdf,http://www.landmanager.org.au/fire-responses-dittrichia-graveolens,
